Gene Symbol,baseMean,Log2 Fold Change,Log2 Fold Change Standard Error,Test Statistic Value,p,Adjusted P value
ARSD,13.83891928,3.243116962,1.090822202,2.973094017,0.002948141,0.035707097
ADIPOR2,119.7512585,1.158356295,0.31673821,3.657141003,0.000255044,0.007132106
MARK4,83.50453188,1.095683253,0.35755148,3.064406985,0.00218102,0.029685343
CEACAM21,1752.173531,1.102784313,0.209786711,5.256692886,1.47E-07,5.18E-05
ADAM22,78.23976552,2.759568253,0.7184298,3.841110504,0.000122479,0.004648499
LDAF1,361.0042195,1.007697328,0.274089311,3.6765291,0.000236429,0.006769896
WWTR1,17.43987769,1.572460803,0.484566672,3.245086576,0.001174149,0.019645963
PLEKHA5,104.1582868,1.417867585,0.489070861,2.899104605,0.0037423,0.041790396
PHPT1,182.9295332,1.147920945,0.312917403,3.66844712,0.000244028,0.006909275
RELT,129.1337793,1.491181031,0.381456748,3.909174603,9.26E-05,0.003912107
QSER1,129.1133115,1.856217691,0.492102927,3.772011077,0.000161937,0.005449128
FAR2,98.50035616,1.754761287,0.501116538,3.501703009,0.000462295,0.010680274
UHRF1BP1,165.1953944,1.11098083,0.343680581,3.232597042,0.001226705,0.020275983
PDIA5,68.41733153,1.944729383,0.622701501,3.123052348,0.001789859,0.025751003
TLE2,613.8997358,1.078895634,0.241570779,4.466167794,7.96E-06,0.000774688
TBC1D1,669.17164,1.019350353,0.20073318,5.078135821,3.81E-07,9.33E-05
STAG3,95.13664112,1.639172212,0.430919769,3.803891887,0.00014244,0.005003877
NEO1,143.9796175,1.558557616,0.520976815,2.991606482,0.002775137,0.034240231
PFN2,158.6833061,1.175327488,0.269480638,4.361454303,1.29E-05,0.001053131
PPP2R3A,104.2392844,1.166449909,0.391158641,2.982037938,0.002863365,0.034959182
GRAMD4,124.2076315,3.055884834,0.499857975,6.113506213,9.75E-10,1.14E-06
PTPN23,203.1733743,1.022024349,0.333414787,3.065324004,0.002174343,0.029621032
STXBP2,238.3035346,1.756005217,0.485149902,3.619510608,0.000295161,0.007810414
CEACAM1,108.8392111,2.028141494,0.551852083,3.67515419,0.000237706,0.006780871
CIC,105.999898,1.517668898,0.388898529,3.902480431,9.52E-05,0.00395873
PAFAH1B3,254.0344253,1.145544289,0.299404478,3.826076007,0.000130202,0.004787935
EXD2,484.8673517,1.082583711,0.227371739,4.761294051,1.92E-06,0.000278018
BCORL1,79.24599363,1.977820739,0.614227094,3.220015461,0.001281837,0.020939888
NID2,43.03005676,2.854291278,0.784673223,3.637554075,0.000275239,0.007510182
TPX2,25.40322358,5.907902104,1.351264382,4.372128937,1.23E-05,0.001020365
LAG3,216.5445715,1.581092914,0.413440422,3.82423399,0.000131179,0.00480864
PCBP4,187.7225294,1.15762835,0.317793962,3.642700895,0.000269792,0.007390555
SETD1A,91.96705022,1.828427165,0.441594339,4.140513144,3.47E-05,0.002022667
DDTL,16.94628919,1.813007364,0.443585174,4.087168532,4.37E-05,0.002358328
MICALL1,197.6220441,1.235943426,0.295669774,4.180148041,2.91E-05,0.001782687
RBFOX2,23.29763847,6.867134,1.145446579,5.995158681,2.03E-09,2.06E-06
SGSM3,19.62789277,1.564042139,0.401958384,3.891054898,9.98E-05,0.004068791
TRIB3,714.8204878,1.028251256,0.244110308,4.212240213,2.53E-05,0.001592223
MROH8,45.26825927,2.367541031,0.806769257,2.934595003,0.003339833,0.038604494
CHMP4B,54.87653592,1.488394652,0.406999219,3.656996336,0.000255188,0.007132106
PLA2G15,473.0203622,2.368650842,0.478276301,4.952473782,7.33E-07,0.00014632
HAGHL,111.7729939,1.169713302,0.371514528,3.148499489,0.00164111,0.024393229
FBXO31,1666.855703,1.062614836,0.151317043,7.022439887,2.18E-12,1.65E-08
CTSH,193.5690007,1.09763828,0.269543641,4.072209888,4.66E-05,0.002456782
NUMBL,46.65002993,1.599848009,0.432987542,3.694905407,0.000219969,0.006511575
BBC3,245.8796929,1.188900717,0.316336496,3.758341932,0.000171043,0.005667575
LFNG,57.95963096,2.547982305,0.547909474,4.650370955,3.31E-06,0.000412163
AEBP1,345.7485598,1.23547248,0.297719922,4.149781008,3.33E-05,0.001965165
DNTT,94.73071736,4.771695949,0.927408506,5.145193209,2.67E-07,7.24E-05
NPM3,17.75142657,2.309637927,0.653037411,3.536762044,0.000405064,0.009695991
PSMD9,420.0543128,1.140594989,0.232449058,4.906860025,9.25E-07,0.0001672
PPFIBP1,52.78606744,2.068554014,0.640741582,3.228374857,0.001244957,0.020469632
CORO1C,252.314683,1.696998899,0.430898969,3.938275603,8.21E-05,0.003631148
STX2,138.3010029,1.926800565,0.535771476,3.596310461,0.000322763,0.008344539
FBXO5,888.8849578,1.221662162,0.279177818,4.375928475,1.21E-05,0.001013829
EPM2A,276.8626909,1.564313704,0.412159005,3.795413139,0.000147398,0.005089948
ACVR1,642.0159548,1.804207248,0.33652849,5.361231818,8.27E-08,3.22E-05
TAF1B,265.5388833,1.713526128,0.323044932,5.304296575,1.13E-07,4.19E-05
DHCR24,353.3147724,2.651370031,0.40229767,6.590567696,4.38E-11,1.33E-07
HDAC1,1893.398295,1.144110305,0.298904785,3.827674777,0.00012936,0.004787935
KIF21B,563.3967603,1.038161173,0.300501293,3.454764414,0.000550774,0.012131414
ELOVL4,151.4725907,3.448680646,0.815432882,4.229263648,2.34E-05,0.001501319
IFI27L2,203.8548082,1.003397627,0.272172323,3.686626242,0.000227247,0.006619379
ARAP3,34.25967777,3.37404015,0.673308091,5.01113858,5.41E-07,0.000117308
HVCN1,217.7549739,1.903743817,0.385189998,4.942350082,7.72E-07,0.000152127
SPRYD7,168.9330387,1.099239721,0.241024397,4.560698982,5.10E-06,0.000568917
NLN,105.3215884,3.242000649,1.012772088,3.201115718,0.001368965,0.021822919
AMOT,24.01135766,3.151269278,1.081609196,2.913500819,0.003574009,0.040446801
PRRG2,18.63178467,5.806658536,0.981229076,5.917739983,3.26E-09,2.91E-06
IFI6,696.5677477,1.691816948,0.525752769,3.217894505,0.001291353,0.02102744
ZC4H2,536.7497053,1.049921708,0.294293501,3.567600731,0.000360265,0.008919054
YWHAH,804.3546781,1.13243075,0.219973669,5.148028658,2.63E-07,7.24E-05
IQCN,32.13413891,2.227929698,0.732844505,3.040112443,0.002364898,0.031080699
SAMD10,274.5304347,1.103016019,0.327873674,3.364149381,0.0007678,0.014952415
GFPT2,22.03410389,5.396915949,1.280021666,4.216269217,2.48E-05,0.001570572
BTBD3,71.52171019,4.484948095,0.974049683,4.604434635,4.14E-06,0.000486559
DPH2,1045.322747,1.05209981,0.180004529,5.844851884,5.07E-09,4.05E-06
RNF122,17.28245569,3.745600392,0.776031162,4.826610804,1.39E-06,0.000216795
CD101,205.277317,1.82539201,0.577674195,3.159898826,0.001578239,0.023879721
CDCA8,142.3561227,1.698430937,0.593787907,2.86033265,0.004231968,0.045069721
OASL,1082.449113,1.128758279,0.384914298,2.932492466,0.003362531,0.038698519
TEC,140.0460293,2.428409355,0.61976448,3.918277722,8.92E-05,0.00383998
TTYH3,41.66319671,2.057634189,0.435190416,4.728123852,2.27E-06,0.00031487
