Gene Symbol,baseMean,Log2 Fold Change,Log2 Fold Change Standard Error,Test Statistic Value,p,Adjusted P value
CXCR2,629.6759306,-7.454621539,0.893174966,-8.346205194,7.05E-17,3.86E-13
RGS2,3248.819656,-2.409189874,0.323577983,-7.445469109,9.66E-14,2.64E-10
RUBCNL,67.29749647,-8.998660971,1.391055807,-6.468943175,9.87E-11,1.08E-07
G0S2,3817.681858,-5.478339431,0.867565013,-6.314615449,2.71E-10,2.47E-07
LINC01506,21.4096407,-7.657359613,1.225275395,-6.249500844,4.12E-10,3.56E-07
CAMP,49.96692252,-7.894037686,1.279124523,-6.171437998,6.77E-10,5.29E-07
PTGS2,90.51021035,-6.396317182,1.076616471,-5.941128853,2.83E-09,2.02E-06
MNDA,631.829706,-5.072159652,0.857609718,-5.914298245,3.33E-09,2.28E-06
SCGB3A1,145.9820462,-5.791415484,0.996176146,-5.813646017,6.11E-09,3.46E-06
FOS,1256.412695,-3.330015451,0.572697256,-5.814617439,6.08E-09,3.46E-06
SERPING1,42.4988145,-5.640506572,0.984596938,-5.728746816,1.01E-08,4.93E-06
IL1B,1320.770537,-5.523624767,0.967796078,-5.707426279,1.15E-08,5.04E-06
HCAR2,59.67652252,-5.743584991,1.0255014,-5.600757827,2.13E-08,7.96E-06
C20orf85,28.66551284,-6.987144593,1.292385596,-5.406393116,6.43E-08,1.90E-05
BCL2A1,2140.680628,-2.581285959,0.486309039,-5.307912777,1.11E-07,2.74E-05
CSTA,34.06570706,-5.107126339,0.967572771,-5.278286547,1.30E-07,3.01E-05
TNFRSF10C,112.2929697,-4.332550207,0.83376895,-5.196343911,2.03E-07,4.12E-05
FFAR2,151.0107032,-6.253716649,1.205803945,-5.186346151,2.14E-07,4.19E-05
OAS1,2194.632871,-2.826498539,0.557761509,-5.067575468,4.03E-07,6.82E-05
CEBPD,456.8635714,-2.066021648,0.407997487,-5.063809734,4.11E-07,6.88E-05
JDP2,28.82677103,-5.1992989,1.039518759,-5.001640281,5.68E-07,8.89E-05
TRIB1,174.7817201,-5.515666492,1.105903245,-4.987476543,6.12E-07,9.13E-05
ENSG00000275139,17.27159415,-4.933643169,0.992372619,-4.971563174,6.64E-07,9.65E-05
NSMCE1-DT,111.6408259,-2.556229816,0.518832143,-4.926891774,8.35E-07,0.000120287
ODF3B,58.46135599,-3.081708231,0.626297055,-4.920521668,8.63E-07,0.000122127
C5AR1,118.399816,-4.109731931,0.846584716,-4.854483969,1.21E-06,0.000153354
MIR223HG,92.96781176,-5.010368337,1.036261231,-4.835043703,1.33E-06,0.00016065
ENSG00000286865,28.89052683,-2.122184674,0.443154956,-4.788809529,1.68E-06,0.00019392
ROPN1L,44.38110341,-4.495828259,0.939844123,-4.783589266,1.72E-06,0.000197636
HCAR3,35.05530288,-5.136569167,1.076347932,-4.772220034,1.82E-06,0.000203439
OSM,539.0114319,-4.496237247,0.950950564,-4.728150357,2.27E-06,0.000233958
PROK2,675.2022679,-4.785288206,1.012098217,-4.728086786,2.27E-06,0.000233958
IL1R2,326.5650569,-5.484009662,1.168424023,-4.69350985,2.69E-06,0.000267141
MIR3945HG,100.466936,-4.545836834,0.971143094,-4.680913517,2.86E-06,0.00027902
CCL4L2,674.9543142,-4.790615821,1.028075899,-4.659788083,3.17E-06,0.000307414
CXCL8,1936.005375,-4.505213537,0.972157459,-4.634242626,3.58E-06,0.000339879
PPIAP30,18.67076734,-3.513375099,0.759858716,-4.623721523,3.77E-06,0.000353504
ENSG00000255197,21.8591341,-5.03810707,1.090422421,-4.620326007,3.83E-06,0.000356385
SCGB1A1,45.58121958,-5.943765977,1.292749284,-4.597771626,4.27E-06,0.00037886
FCGR3B,475.0804907,-4.479512663,0.992031092,-4.515496236,6.32E-06,0.000510733
PLBD1,63.67266478,-4.530414575,1.004402467,-4.510556996,6.47E-06,0.000520209
FCN1,43.86138885,-5.858783272,1.32542606,-4.420301856,9.86E-06,0.000694299
PCOLCE,18.61560476,-3.791707984,0.86715675,-4.372575069,1.23E-05,0.000802926
MTND5P2,12.52961143,-3.350401471,0.768667416,-4.358714057,1.31E-05,0.000842076
ENSG00000287336,15.09228835,-4.74355108,1.093481942,-4.338024156,1.44E-05,0.000904064
NCF1,110.1278381,-2.264983489,0.537484231,-4.214046399,2.51E-05,0.001376912
MAP3K5-AS2,20.16690162,-3.77970225,0.898001971,-4.209013314,2.56E-05,0.001398585
CPPED1,289.2955003,-2.090153462,0.497211098,-4.203754648,2.63E-05,0.001419269
PLAUR,766.9875584,-3.299491232,0.788738163,-4.183252929,2.87E-05,0.001521471
ENSG00000249679,18.42597375,-4.419433506,1.057507763,-4.179102663,2.93E-05,0.001532194
ARHGEF40,39.37074341,-3.95063405,0.955768731,-4.133462335,3.57E-05,0.001771904
IFITM3,1034.339675,-3.055745065,0.745725533,-4.097680623,4.17E-05,0.002008597
