Gene Symbol,baseMean,Log2 Fold Change,Log2 Fold Change Standard Error,Test Statistic Value,p,Adjusted P value
ARHGEF4,20.67137749,19.35761428,1.649405269,11.73611764,8.32E-32,1.37E-27
LINC02656,15.41817158,6.897290519,1.059792906,6.508149359,7.61E-11,9.61E-08
TGFB1I1,12.69982586,6.487916615,1.111605319,5.836528942,5.33E-09,3.36E-06
TPX2,25.40171201,8.002855402,1.399708595,5.717515368,1.08E-08,4.93E-06
MACIR,218.1857219,2.708189951,0.47772397,5.668942986,1.44E-08,5.75E-06
GRAMD1C,19.55241809,7.881753691,1.458365409,5.404512232,6.50E-08,1.90E-05
GOLPH3-DT,12.50998766,6.749046652,1.266034829,5.330853858,9.78E-08,2.59E-05
ADSS1,22.1817628,6.27599377,1.180057048,5.318381668,1.05E-07,2.68E-05
KIR2DL1,16.57335522,7.114267532,1.341205909,5.304381294,1.13E-07,2.74E-05
PRRG2,18.63169765,5.348092339,1.008365996,5.303721426,1.13E-07,2.74E-05
LINC01624,33.71159535,6.669770928,1.256718264,5.307292113,1.11E-07,2.74E-05
ARVCF,19.6436765,7.30093053,1.382797325,5.279826913,1.29E-07,3.01E-05
HLA-DOA,34.56601669,8.808405938,1.679745216,5.243894048,1.57E-07,3.41E-05
GRAMD4,124.2109332,2.729815107,0.525209636,5.197572403,2.02E-07,4.12E-05
MALT1-AS1,8.82388094,6.360269966,1.225145759,5.191439401,2.09E-07,4.18E-05
HHIPL1,15.23341146,7.293227054,1.417759074,5.144193528,2.69E-07,5.06E-05
TK1,14.97982559,6.729824568,1.332950228,5.048819098,4.45E-07,7.37E-05
GFPT2,22.0337521,6.678478565,1.324448972,5.042458191,4.60E-07,7.54E-05
CDC20,14.92716927,7.723647866,1.547683189,4.990457946,6.02E-07,9.07E-05
IRGM,24.21397935,6.661487709,1.365031029,4.880099841,1.06E-06,0.000142136
RBFOX2,23.29770384,5.762329523,1.184051824,4.866619354,1.14E-06,0.000149892
GPC3,20.21873594,7.348841319,1.51834045,4.840048434,1.30E-06,0.000157817
ENSG00000287077,12.45663835,4.975613952,1.03125537,4.824812646,1.40E-06,0.000167886
GOLGA7B,26.55009523,3.644800611,0.758303592,4.806518983,1.54E-06,0.000180052
SDC4,11.11608633,5.670364506,1.210095141,4.685883213,2.79E-06,0.000273965
LINC02035,26.01734625,6.510067503,1.400455711,4.648535081,3.34E-06,0.000321351
OSCP1,12.7613062,6.436007578,1.4074973,4.572660693,4.82E-06,0.000413822
ENSG00000228862,19.76656979,4.334604328,0.953385006,4.546541325,5.45E-06,0.000452059
STAG3,95.13792651,2.037047545,0.452337298,4.503381781,6.69E-06,0.000527148
IRF6,19.85957515,5.907463911,1.319263428,4.477850128,7.54E-06,0.000577299
TXNDC5,18.75160074,3.048190814,0.685375615,4.447474853,8.69E-06,0.000628218
ENSG00000269973,14.51763546,5.115132119,1.153438516,4.434681213,9.22E-06,0.000658009
ENSG00000213683,24.15100983,5.642366738,1.276837857,4.419015857,9.92E-06,0.000695458
LFNG,57.95622049,2.526614225,0.574223081,4.40005689,1.08E-05,0.000741688
AMOT,24.01295186,4.888685005,1.125436431,4.34381265,1.40E-05,0.000890825
ACVR2B,96.08514565,2.175301836,0.501788064,4.335100801,1.46E-05,0.000906669
GPAT2,59.81392747,2.85606978,0.658857041,4.334885418,1.46E-05,0.000906669
ENSG00000285646,56.70019783,2.268491006,0.526423217,4.309253338,1.64E-05,0.000988441
ZNF683,36.99725314,4.6121235,1.086644621,4.244371536,2.19E-05,0.001266846
HAAO,10.30003733,5.868573,1.388391971,4.226884859,2.37E-05,0.001331863
RNF32,12.44564166,3.621134627,0.858138584,4.219755057,2.45E-05,0.001360274
C8orf88,9.09513446,5.03435484,1.195551641,4.210905381,2.54E-05,0.001391545
SPINDOC,13.65114831,3.257965555,0.7794105,4.180038062,2.91E-05,0.001532194
PRSS21,15.22182261,6.669341239,1.599568297,4.169463256,3.05E-05,0.001561116
LINC00544,8.324930702,6.273907688,1.510430203,4.153722347,3.27E-05,0.001651956
MMP28,399.3161322,2.113157997,0.509689592,4.145970467,3.38E-05,0.001698406
KCTD13-DT,18.94860632,4.928114402,1.196603396,4.118419202,3.81E-05,0.001863463
EGLN2,27.23381996,3.181428174,0.775095259,4.1045641,4.05E-05,0.001961223
STX2,138.3040042,2.30645984,0.563423131,4.093654863,4.25E-05,0.002031892
ARAP3,34.26031881,2.879520763,0.705181275,4.083376663,4.44E-05,0.002093412
PHLDB2,24.27751451,5.332486174,1.32299246,4.030624767,5.56E-05,0.002461012
ENSG00000273189,11.09937397,4.437980975,1.103422834,4.022012995,5.77E-05,0.002512141
RNF122,17.2827251,3.214564334,0.808506314,3.975929782,7.01E-05,0.002912988
MYO10,23.51222832,2.595771783,0.657147267,3.950060986,7.81E-05,0.003117084
HNRNPA1P50,16.1356952,3.869307693,0.981557858,3.942006743,8.08E-05,0.003180371
ENSG00000270990,11.98714394,4.725148291,1.200626975,3.935567325,8.30E-05,0.003247598
PLEKHG1,18.44225936,6.331985989,1.609287565,3.934651661,8.33E-05,0.003248193
TEC,140.0512682,2.563091427,0.652202328,3.929902298,8.50E-05,0.003284656
PLAC9,10.8670025,2.758618245,0.702425876,3.927273096,8.59E-05,0.003310125
ADAM9,32.73445278,4.325095358,1.10670693,3.908076513,9.30E-05,0.003518351
NPTXR,38.95032766,3.185279701,0.814911039,3.908745307,9.28E-05,0.003518351
BTBD3,71.5240045,3.994001246,1.022585028,3.905788894,9.39E-05,0.003535514
RUSC2,45.18469936,4.578572764,1.176784446,3.890748878,9.99E-05,0.00370257
ENSG00000239415,46.92014956,2.532237219,0.651950512,3.884094227,0.000102712,0.003754595
ARHGEF35-AS1,25.00499218,2.783932493,0.718707364,3.873527159,0.000107271,0.003871627
MTA1-DT,25.98500785,5.242689226,1.355017815,3.869092472,0.000109241,0.003914795
ENSG00000236449,27.95312941,2.354102773,0.609477611,3.862492617,0.000112236,0.003989832
RN7SKP163,10.56050272,3.404194609,0.881975054,3.859740241,0.000113508,0.004015087
ENSG00000272356,14.8222306,2.562671511,0.665726745,3.849434518,0.000118391,0.004164967
SOD1-DT,83.19293419,2.714342688,0.708077227,3.833399218,0.000126385,0.004348743
ANKRD50,19.41287947,6.08516985,1.590665748,3.825549055,0.000130481,0.004461633
LINC01237,6.837939116,3.76851813,0.98850512,3.812340525,0.000137657,0.004620379
IQCN,32.13266006,2.889348014,0.766867499,3.767727823,0.00016474,0.005250253
ELOVL4,151.4800898,3.230637905,0.858801937,3.761796248,0.000168697,0.005355573
ENSG00000253620,10.61534403,2.816477405,0.751132814,3.749639679,0.000177089,0.005557474
ADAM11,12.83401448,4.798321242,1.282239206,3.742142045,0.000182458,0.005682521
NLN,105.318158,3.945220744,1.064319202,3.706802186,0.000209893,0.006263581
AGO4,235.5523937,2.013849827,0.546170448,3.687218587,0.000226719,0.006621232
ENSG00000214955,9.523353534,2.869688859,0.779159921,3.68305502,0.000230455,0.006682799
GSDMA,33.71040677,4.691786833,1.275427802,3.678598527,0.000234519,0.006788645
MAP3K21,23.20268724,4.335530487,1.195139855,3.627634429,0.00028603,0.007666621
PACSIN3,7.25200551,6.016852455,1.661990811,3.620268183,0.000294298,0.007828704
LCA5,35.03312225,3.538440361,0.987898775,3.581784339,0.000341255,0.00855973
ENSG00000286416,20.78205465,2.892721214,0.820781616,3.524349422,0.000424524,0.009938076
PRKAR2B,39.41034548,6.097407606,1.740077803,3.50410056,0.000458152,0.010417968
LOXL2,44.10348205,2.669430458,0.763981318,3.494104363,0.000475655,0.010662727
HACD1,25.41636088,4.375036425,1.254104288,3.488574648,0.000485603,0.010789164
VASH1,22.0686025,2.834379492,0.812840119,3.487007378,0.000488458,0.010819243
DNASE1L1,42.09687264,2.18344615,0.630899727,3.460844975,0.000538483,0.011640064
SLC13A3,20.82286126,2.619103988,0.762465501,3.435045892,0.000592453,0.012418824
XYLB,18.5230796,2.699339741,0.786668243,3.431357203,0.000600569,0.012475085
KDM5C-IT1,9.196973449,3.140344653,0.915028065,3.431965394,0.000599224,0.012475085
GALNS,113.1546505,2.324239687,0.678456256,3.425776776,0.000613044,0.012640566
FGFR1,243.002323,2.111967585,0.617176333,3.42198408,0.00062166,0.012722317
LINC00891,9.918775625,2.413328098,0.709544038,3.401237933,0.000670814,0.013329385
LINC00862,15.58891784,3.544871891,1.04638567,3.387729777,0.000704737,0.013819405
ENSG00000260774,8.94142248,2.703000758,0.799629847,3.380314991,0.000724028,0.014163852
FAM187B2P,15.74472101,3.88955621,1.153601718,3.371662984,0.000747158,0.014461211
DNTT,94.7348932,3.290366641,0.976288338,3.370281618,0.000750914,0.014495313
