Gene Symbol,baseMean,Log2 Fold Change,Log2 Fold Change Standard Error,Test Statistic Value,p,Adjusted P value
CXCR2,629.7174057,-5.567911709,0.699822775,-7.956173916,1.77E-15,2.59E-11
IFIT3,3605.123834,-3.472844638,0.455774093,-7.619662223,2.54E-14,1.86E-10
CAMP,49.96972698,-7.842151623,1.052482551,-7.451098944,9.26E-14,4.50E-10
HCAR2,59.68043435,-5.377477747,0.816827276,-6.583371914,4.60E-11,1.68E-07
IFIT1,1217.588628,-2.738746907,0.427663439,-6.403977186,1.51E-10,3.15E-07
SERPING1,42.50096064,-5.064086102,0.794269901,-6.375774904,1.82E-10,3.32E-07
PTGS2,90.51758404,-5.449621078,0.861109102,-6.328606984,2.47E-10,4.01E-07
OASL,1082.449113,-1.995970826,0.316634608,-6.303703944,2.91E-10,4.24E-07
MNDA,631.865444,-4.202629022,0.670591333,-6.267049416,3.68E-10,4.88E-07
ODF3B,58.46542163,-3.046898011,0.49241272,-6.187691518,6.11E-10,7.42E-07
DDX60,2125.363132,-1.577877871,0.259766439,-6.074217575,1.25E-09,1.30E-06
CLN3,354.0145452,-1.078162023,0.183677071,-5.869878136,4.36E-09,4.24E-06
OAS1,2194.713655,-2.550724951,0.435606678,-5.855568978,4.75E-09,4.33E-06
FCGR3B,475.0820338,-4.478559052,0.775740139,-5.773272293,7.77E-09,6.39E-06
IRF7,3435.397892,-1.16529827,0.201922659,-5.771012904,7.88E-09,6.39E-06
CSTA,34.06703067,-4.435707988,0.778418607,-5.69835812,1.21E-08,9.29E-06
PLN,21.13283833,-4.869511661,0.858011316,-5.675346667,1.38E-08,1.01E-05
G0S2,3817.968483,-3.773735754,0.677687873,-5.568545498,2.57E-08,1.68E-05
ROPN1L,44.38225853,-4.203438536,0.755565306,-5.563302741,2.65E-08,1.68E-05
IFITM3,1034.378419,-3.234803328,0.582708463,-5.551323743,2.84E-08,1.72E-05
FFAR2,151.0231199,-5.238036373,0.946384984,-5.534783902,3.12E-08,1.82E-05
HSPG2,53.28000988,-3.189719619,0.582677686,-5.474243645,4.39E-08,2.37E-05
HCAR3,35.05783439,-4.654514745,0.85389063,-5.450949546,5.01E-08,2.61E-05
KRT17,84.18372366,-6.752359694,1.256052405,-5.375858259,7.62E-08,3.59E-05
PCOLCE,18.61612188,-3.746597506,0.699180526,-5.358555289,8.39E-08,3.72E-05
CA14,42.8405366,-2.380257413,0.446393471,-5.332195843,9.70E-08,4.05E-05
EGR2,51.3445044,-3.201700167,0.600986407,-5.32740862,9.96E-08,4.05E-05
IL1B,1320.860097,-4.00544588,0.75646408,-5.294958457,1.19E-07,4.69E-05
IFIT2,2464.167709,-2.196047527,0.417866953,-5.255374969,1.48E-07,5.67E-05
CXCL10,227.2103408,-5.758561038,1.104620275,-5.213158916,1.86E-07,6.94E-05
ISG15,2982.132808,-1.891319827,0.370451684,-5.105442653,3.30E-07,0.000109409
MTND1P23,70.87874013,-3.420405225,0.672197308,-5.088394705,3.61E-07,0.000115136
IFI6,696.5677477,-2.191454779,0.432141611,-5.07114965,3.95E-07,0.000122723
MAP3K8,345.6609621,-1.172243476,0.232272839,-5.046838374,4.49E-07,0.000136504
TRIB1,174.793376,-4.305153905,0.866737673,-4.967078321,6.80E-07,0.000190667
ICAM1,556.8863963,-1.186631657,0.239661873,-4.951274225,7.37E-07,0.000199164
APOBEC3A,157.5080275,-4.826020248,0.976258377,-4.943384213,7.68E-07,0.000203629
CCL4L2,675.0176905,-3.938261288,0.803808969,-4.899499062,9.61E-07,0.000241644
IFITM2,7313.610277,-1.184175275,0.242638914,-4.880401312,1.06E-06,0.000257388
LINC02362,29.1538642,-2.75152893,0.568102005,-4.843371273,1.28E-06,0.000290952
FCN1,43.86356549,-5.103099354,1.054624908,-4.838781365,1.31E-06,0.000293171
FAR2,98.50035616,-1.984688824,0.411062302,-4.82819469,1.38E-06,0.000304507
MIR4435-2HG,24.27018298,-2.633983735,0.547754386,-4.808694928,1.52E-06,0.000321165
CMPK2,723.3093932,-2.341562823,0.490684364,-4.772034722,1.82E-06,0.000364423
LCA5L,17.87354874,-2.904512265,0.611804217,-4.747453819,2.06E-06,0.000395372
IGSF6,251.7777839,-2.344952064,0.495127267,-4.736059236,2.18E-06,0.000407527
STX8P1,49.11849379,-2.554959843,0.541393171,-4.71923175,2.37E-06,0.00043166
GBP5,2370.82128,-1.080281054,0.231565809,-4.665114677,3.08E-06,0.000542083
PGLYRP1,102.8506169,-4.601789155,0.990214872,-4.647263222,3.36E-06,0.000570535
SLC22A4,30.0576869,-3.485551373,0.74958829,-4.649954409,3.32E-06,0.000570535
RN7SKP56,50.74306988,-1.559778132,0.339001825,-4.601090665,4.20E-06,0.000659214
TNFRSF10C,112.301299,-3.004133508,0.654024585,-4.593303639,4.36E-06,0.000677029
RBM11,218.918178,-1.500617377,0.327950115,-4.57574889,4.75E-06,0.000728612
ENSG00000275457,94.36603531,-1.03906218,0.227191944,-4.573499218,4.80E-06,0.000728811
EPSTI1,1525.705963,-1.403562327,0.307842806,-4.559347502,5.13E-06,0.000763775
BCL2A1,2140.773381,-1.729970426,0.379893777,-4.553826699,5.27E-06,0.000776187
MAP1LC3A,77.96462088,-1.085872692,0.239075787,-4.541960134,5.57E-06,0.000805866
FTH1P20,67.09901719,-2.545257129,0.562034656,-4.528648012,5.94E-06,0.000848939
FCAR,98.82272551,-3.402558457,0.755706623,-4.502485953,6.72E-06,0.000942028
RELT,129.1337793,-1.403754686,0.313173335,-4.482356983,7.38E-06,0.000988388
HDX,45.26045416,-4.239493998,0.945838294,-4.482260893,7.39E-06,0.000988388
