Gene Symbol,baseMean,Log2 Fold Change,Log2 Fold Change Standard Error,Test Statistic Value,p,Adjusted P value
TMEM117,134.9843959,1.803548366,0.326693309,5.520616172,3.38E-08,1.90E-05
CPLANE1,167.1897097,1.269961168,0.264512652,4.801135815,1.58E-06,0.000325501
RNF125,1496.490537,1.00151153,0.212024144,4.723573045,2.32E-06,0.000427891
KRT18P61,70.28475135,1.728844545,0.372661749,4.63917896,3.50E-06,0.000574727
ITGA10,31.98882325,2.820969841,0.629763229,4.479413389,7.48E-06,0.000992559
NKILA,91.31745599,1.776230027,0.401367815,4.425442104,9.62E-06,0.00120608
MYH7B,36.09702946,1.901760679,0.441071994,4.311678604,1.62E-05,0.001725268
SH3RF3-AS1,23.87076204,1.856740811,0.434642239,4.271883044,1.94E-05,0.0019253
CCDC15,117.4520435,1.642654931,0.389877211,4.213262236,2.52E-05,0.002309228
LINGO3,877.3594431,1.37545035,0.330217267,4.165288996,3.11E-05,0.002621937
ADAMTS7P1,26.4892976,2.261534104,0.54403461,4.156967335,3.23E-05,0.002667871
CATSPER2,58.13373901,1.137181946,0.279513019,4.068440005,4.73E-05,0.003540448
GGCTP1,61.44603278,1.276960754,0.320821959,3.980278531,6.88E-05,0.004584885
XPC-AS1,24.83277022,1.7157425,0.433593994,3.95702552,7.59E-05,0.004859289
PITPNM2,106.1192184,1.276357264,0.322848886,3.953420069,7.70E-05,0.004883108
FEZ2,74.7571664,1.255862912,0.318426541,3.943964309,8.01E-05,0.00495404
GTF2IP20,96.02829245,1.611063249,0.412313593,3.907373601,9.33E-05,0.005479595
UCKL1-AS1,66.24737322,1.64335095,0.427630191,3.842925463,0.000121576,0.006647773
GUSBP9,24.57938736,1.166667307,0.308248542,3.784826685,0.000153816,0.007805197
GINS2,35.85715811,2.89795187,0.772870709,3.749594641,0.000177121,0.008640999
ENSG00000255321,26.70536582,1.454445856,0.389084746,3.738120992,0.000185401,0.008925546
SACS,206.2058276,1.109094818,0.299255616,3.706178795,0.00021041,0.009743643
ENSG00000273729,79.87916808,1.270970626,0.344943994,3.68457097,0.000229088,0.01037798
SNX18,118.6789883,1.294837808,0.356026196,3.636917238,0.000275921,0.011886826
BDNF-AS,175.6815437,1.153017026,0.326861395,3.527541166,0.000419439,0.01514443
LINC00539,22.69044626,2.253280829,0.639817234,3.521757009,0.000428697,0.015364623
DIAPH1-AS1,36.95808903,2.161860149,0.61699173,3.503872167,0.000458545,0.016078851
ENSG00000267934,68.42274201,1.50695897,0.431350393,3.493584317,0.000476582,0.016419792
DGKH,42.61004333,1.864401752,0.541176348,3.445090975,0.000570867,0.018382429
DHDDS-AS1,27.48975403,1.522376004,0.445351927,3.418366266,0.000629983,0.019862836
ENSG00000247011,295.245182,1.088533024,0.31947636,3.407241231,0.000656231,0.020367252
RPL12P44,29.93091642,1.786076247,0.524746367,3.403694353,0.000664811,0.020502321
ENSG00000287855,67.88490651,1.274622348,0.374990237,3.399081425,0.000676126,0.020745274
BEX1,21.53232817,1.268552588,0.373574814,3.395712291,0.000684503,0.02093258
CACNB2,154.9150386,1.042148622,0.307443797,3.389720762,0.000699639,0.021350684
ENSG00000228061,29.2780642,1.205810548,0.357930784,3.368837223,0.00075486,0.022386576
PTTG2,20.18065499,1.844674257,0.548667758,3.362097063,0.000773529,0.022794892
TRBV6-4,41.08466161,1.344418167,0.400797721,3.354355818,0.0007955,0.023242586
ACVR2B,96.08427973,1.296964763,0.387530844,3.346739446,0.00081768,0.023414403
KIF9,36.97228347,1.017512432,0.303787747,3.349418933,0.000809812,0.023414403
TMEM256P2,29.0081528,1.647826693,0.493194253,3.34113117,0.000834378,0.023771623
FGGY,102.5428454,1.328720847,0.398925366,3.330750463,0.000866122,0.024227075
APOBR,28.06584414,1.911842848,0.577528003,3.310389864,0.000931661,0.025593484
