Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6783783,Interleukin-10 signaling,30,86,0.00566423,1.11E-16,1.79E-14,4,15,0.001065492,9606,Homo sapiens,IL1RN;CXCL8;CCL3L1;IL1R2;FPR1;CXCL1;PTGS2;TNF;ICAM1;CXCL10;IL1B;CCL4;CCL3;CCL2,,R-HSA-8937656;R-HSA-6784160;R-HSA-6790029;R-HSA-8937654
R-HSA-168256,Immune System,119,2698,0.177698742,1.11E-16,1.79E-14,246,1645,0.116848984,9606,Homo sapiens,IFITM3;FCN1;CDKN1A;IL1RN;CXCL8;IFITM2;TNFAIP6;NCF4;CXCL1;IFIT1;TNF;TREM1;IFIT3;FCAR;OASL;IFIT2;ICAM1;TNFSF13B;HERC5;FCGR3B;LAMP3;MAP3K8;LGALS9;PGLYRP1;CAMP;HERC6;GBP5;LAG3;FCER1G;RSAD2;ARG1;IL1R2;PLAUR;FOS;CEACAM1;RAB31;CLEC4D;TYROBP;OAS1;OAS3;IL1B;IRF7;SERPING1;IRF8;CLEC4E;S100A9;CD101;S100A8;LILRA6;CEBPD;CCL3L1;SRC;STXBP2;C5AR1;IFI6;FPR1;PTGS2;CST3;CXCR1;CCL4;CXCR2;CCL3;S100A12;CCL2;FCGR1A;JUP;MX1;OSM;ISG15;LYZ;CXCL10;BST1;FCGR2A;QPCT;S100P;MNDA;CD248,,R-HSA-936462;R-HSA-8983688;R-HSA-177671;R-HSA-8983680;R-HSA-202248;R-HSA-1222685;R-HSA-8863895;R-HSA-5668417;R-HSA-5621366;R-HSA-449058;R-HSA-5668467;R-HSA-5621363;R-HSA-6783552;R-HSA-1031716;R-HSA-5621371;R-HSA-1031713;R-HSA-5621370;R-HSA-8937656;R-HSA-937022;R-HSA-5668454;R-HSA-451634;R-HSA-5621347;R-HSA-5621356;R-HSA-2272795;R-HSA-5621353;R-HSA-5621352;R-HSA-5621355;R-HSA-8937654;R-HSA-5621354;R-HSA-5432849;R-HSA-6783524;R-HSA-451649;R-HSA-5684250;R-HSA-6800426;R-HSA-5684248;R-HSA-9013979;R-HSA-9013978;R-HSA-450133;R-HSA-6800434;R-HSA-449117;R-HSA-6793275;R-HSA-5676599;R-HSA-5668404;R-HSA-5676596;R-HSA-983147;R-HSA-5684275;R-HSA-375395;R-HSA-5684273;R-HSA-5668414;R-HSA-5676607;R-HSA-983140;R-HSA-937059;R-HSA-5684261;R-HSA-389756;R-HSA-937079;R-HSA-983157;R-HSA-983156;R-HSA-936563;R-HSA-5684267;R-HSA-2424484;R-HSA-2424486;R-HSA-2424487;R-HSA-2424480;R-HSA-8852481;R-HSA-2424482;R-HSA-8985091;R-HSA-933533;R-HSA-933531;R-HSA-2454192;R-HSA-933525;R-HSA-6798528;R-HSA-6789325;R-HSA-933538;R-HSA-446634;R-HSA-933536;R-HSA-5340385;R-HSA-446130;R-HSA-448703;R-HSA-166072;R-HSA-2395801;R-HSA-446648;R-HSA-166082;R-HSA-2201316;R-HSA-2454240;R-HSA-964811;R-HSA-2029272;R-HSA-6784160;R-HSA-2130151;R-HSA-2029273;R-HSA-8985153;R-HSA-2029270;R-HSA-166091;R-HSA-2029271;R-HSA-2029268;R-HSA-2201322;R-HSA-8985157;R-HSA-2262775;R-HSA-918232;R-HSA-5668481;R-HSA-388829;R-HSA-1028821;R-HSA-446684;R-HSA-388831;R-HSA-8856157;R-HSA-918229;R-HSA-1028820;R-HSA-2262777;R-HSA-8862300;R-HSA-1028819;R-HSA-1028816;R-HSA-446694;R-HSA-5668534;R-HSA-2197697;R-HSA-446692;R-HSA-2426566;R-HSA-168166;R-HSA-388833;R-HSA-166119;R-HSA-2454208;R-HSA-446701;R-HSA-2426569;R-HSA-6798474;R-HSA-450292;R-HSA-8862320;R-HSA-2454239;R-HSA-2172123;R-HSA-8983671;R-HSA-2855125;R-HSA-2172126;R-HSA-975118;R-HSA-6785895;R-HSA-9604499;R-HSA-2395439;R-HSA-975106;R-HSA-879362;R-HSA-5607750;R-HSA-450325;R-HSA-9604487;R-HSA-2395412;R-HSA-5696358;R-HSA-5685602;R-HSA-5685600;R-HSA-445757;R-HSA-445752;R-HSA-879411;R-HSA-445753;R-HSA-507719;R-HSA-166726;R-HSA-2730860;R-HSA-2730851;R-HSA-392530;R-HSA-975188;R-HSA-210271;R-HSA-199518;R-HSA-210274;R-HSA-210273;R-HSA-166753;R-HSA-166245;R-HSA-6801687;R-HSA-2730843;R-HSA-210289;R-HSA-210295;R-HSA-210292;R-HSA-2730833;R-HSA-210298;R-HSA-166271;R-HSA-210300;R-HSA-199043;R-HSA-9725206;R-HSA-6789092;R-HSA-2025882;R-HSA-2029467;R-HSA-210309;R-HSA-446862;R-HSA-6789615;R-HSA-199050;R-HSA-1169307;R-HSA-166792;R-HSA-166286;R-HSA-2029458;R-HSA-2029459;R-HSA-166284;R-HSA-6799350;R-HSA-2559414;R-HSA-2029455;R-HSA-446868;R-HSA-2029452;R-HSA-2029453;R-HSA-2029451;R-HSA-2396594;R-HSA-2029449;R-HSA-5660622;R-HSA-1015702;R-HSA-9714959;R-HSA-199583;R-HSA-1015699;R-HSA-199587;R-HSA-5660663;R-HSA-2730888;R-HSA-446894;R-HSA-2730882;R-HSA-8852266;R-HSA-2730884;R-HSA-2730886;R-HSA-6789072;R-HSA-2029476;R-HSA-2272668;R-HSA-1236955;R-HSA-9690461;R-HSA-2272753;R-HSA-166362;R-HSA-166363;R-HSA-1236939;R-HSA-1236940;R-HSA-1236941;R-HSA-1678841;R-HSA-6790022;R-HSA-1169395;R-HSA-1678843;R-HSA-1169394;R-HSA-1678842;R-HSA-1169397;R-HSA-168935;R-HSA-1169399;R-HSA-168933;R-HSA-1169398;R-HSA-1861621;R-HSA-6790029;R-HSA-1176059;R-HSA-1169403;R-HSA-1169402;R-HSA-1169405;R-HSA-1169404;R-HSA-1169406;R-HSA-6798743;R-HSA-9021306;R-HSA-6789524;R-HSA-6790036;R-HSA-6798739;R-HSA-1236967;R-HSA-6798751;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-6798745;R-HSA-6790041
R-HSA-1280215,Cytokine Signaling in Immune system,77,1107,0.072910492,1.11E-16,1.79E-14,80,726,0.051569825,9606,Homo sapiens,IFITM3;CDKN1A;IL1RN;CXCL8;IFITM2;CCL3L1;CEBPD;STXBP2;FPR1;IFI6;CXCL1;PTGS2;IFIT1;TNF;IFIT3;ICAM1;IFIT2;OASL;TNFSF13B;HERC5;CCL4;CCL3;S100A12;CCL2;MAP3K8;LGALS9;FCGR1A;GBP5;RSAD2;IL1R2;MX1;OSM;ISG15;FOS;CXCL10;OAS1;OAS3;IL1B;IRF7;IRF8;S100P,,R-HSA-936462;R-HSA-6785895;R-HSA-8983688;R-HSA-446862;R-HSA-6789615;R-HSA-8983680;R-HSA-1169307;R-HSA-8985091;R-HSA-446868;R-HSA-450325;R-HSA-5668417;R-HSA-1015702;R-HSA-9714959;R-HSA-1015699;R-HSA-449058;R-HSA-5668467;R-HSA-6783552;R-HSA-446894;R-HSA-6789325;R-HSA-1031716;R-HSA-446634;R-HSA-1031713;R-HSA-8937656;R-HSA-5340385;R-HSA-5668454;R-HSA-446130;R-HSA-451634;R-HSA-448703;R-HSA-445757;R-HSA-445752;R-HSA-446648;R-HSA-8937654;R-HSA-445753;R-HSA-507719;R-HSA-6783524;R-HSA-6784160;R-HSA-451649;R-HSA-8985153;R-HSA-5684250;R-HSA-8985157;R-HSA-5684248;R-HSA-450133;R-HSA-5668481;R-HSA-446684;R-HSA-449117;R-HSA-1678841;R-HSA-446694;R-HSA-5668534;R-HSA-6790022;R-HSA-5676599;R-HSA-446692;R-HSA-1169395;R-HSA-1678843;R-HSA-5668404;R-HSA-5676596;R-HSA-1169394;R-HSA-1678842;R-HSA-1169397;R-HSA-168166;R-HSA-5684275;R-HSA-1169399;R-HSA-1169398;R-HSA-5684273;R-HSA-5668414;R-HSA-5676607;R-HSA-6790029;R-HSA-1176059;R-HSA-1169403;R-HSA-446701;R-HSA-1169402;R-HSA-1169405;R-HSA-1169404;R-HSA-1169406;R-HSA-450292;R-HSA-6789524;R-HSA-5684261;R-HSA-6790036;R-HSA-5684267;R-HSA-8983671;R-HSA-6790041
R-HSA-909733,Interferon alpha/beta signaling,29,190,0.012513996,1.11E-16,1.79E-14,2,25,0.00177582,9606,Homo sapiens,IFITM3;IFITM2;RSAD2;MX1;IFI6;ISG15;IFIT1;IFIT3;IFIT2;OASL;OAS1;OAS3;IRF7;IRF8,,R-HSA-1015702;R-HSA-1015699
R-HSA-913531,Interferon Signaling,36,397,0.026147665,3.33E-16,4.26E-14,26,74,0.005256428,9606,Homo sapiens,IFITM3;GBP5;IFITM2;RSAD2;MX1;IFI6;ISG15;IFIT1;IFIT3;ICAM1;IFIT2;OASL;HERC5;OAS1;OAS3;IRF7;IRF8;FCGR1A,,R-HSA-936462;R-HSA-8983688;R-HSA-8985153;R-HSA-8983680;R-HSA-1169307;R-HSA-8985091;R-HSA-8985157;R-HSA-1015702;R-HSA-1015699;R-HSA-1678841;R-HSA-1169395;R-HSA-1678843;R-HSA-1169394;R-HSA-1678842;R-HSA-1169397;R-HSA-1169399;R-HSA-1169398;R-HSA-1176059;R-HSA-1169403;R-HSA-1031716;R-HSA-1169402;R-HSA-1169405;R-HSA-1169404;R-HSA-1031713;R-HSA-1169406;R-HSA-8983671
R-HSA-380108,Chemokine receptors bind chemokines,16,57,0.003754199,6.33E-15,6.77E-13,7,19,0.001349624,9606,Homo sapiens,CXCL10;CXCL8;CCL3L1;CXCR1;CCRL2;CCL4;CXCR2;CCL3;CCL2;CXCL1,,R-HSA-373813;R-HSA-443986;R-HSA-373074;R-HSA-373791;R-HSA-443978;R-HSA-374248;R-HSA-3296301
R-HSA-449147,Signaling by Interleukins,42,658,0.043337944,1.36E-13,1.25E-11,43,505,0.035871573,9606,Homo sapiens,CDKN1A;IL1RN;CXCL8;CEBPD;CCL3L1;IL1R2;STXBP2;OSM;FPR1;CXCL1;FOS;PTGS2;TNF;ICAM1;CXCL10;IL1B;CCL4;CCL3;CCL2;S100A12;MAP3K8;S100P;LGALS9,,R-HSA-507719;R-HSA-6785895;R-HSA-6783524;R-HSA-6784160;R-HSA-451649;R-HSA-446862;R-HSA-6789615;R-HSA-5684250;R-HSA-5684248;R-HSA-446868;R-HSA-450133;R-HSA-450325;R-HSA-446684;R-HSA-449117;R-HSA-446694;R-HSA-6790022;R-HSA-446692;R-HSA-449058;R-HSA-168166;R-HSA-5684275;R-HSA-5684273;R-HSA-6783552;R-HSA-446894;R-HSA-6790029;R-HSA-6789325;R-HSA-446701;R-HSA-446634;R-HSA-8937656;R-HSA-5340385;R-HSA-450292;R-HSA-6789524;R-HSA-5684261;R-HSA-6790036;R-HSA-446130;R-HSA-451634;R-HSA-448703;R-HSA-445757;R-HSA-5684267;R-HSA-445752;R-HSA-446648;R-HSA-6790041;R-HSA-8937654;R-HSA-445753
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,22,211,0.013897122,1.92E-11,1.53E-09,8,47,0.003338542,9606,Homo sapiens,CDKN1A;CXCL8;CEBPD;IL1B;CCL4;OSM;CCL2;FOS;PTGS2;TNF;ICAM1,,R-HSA-6785895;R-HSA-6790022;R-HSA-6789524;R-HSA-6790036;R-HSA-6789615;R-HSA-6790029;R-HSA-6789325;R-HSA-6790041
R-HSA-6798695,Neutrophil degranulation,32,480,0.031614305,5.01E-11,3.55E-09,10,10,7.10E-04,9606,Homo sapiens,FCN1;CXCL8;TNFAIP6;C5AR1;FPR1;CXCL1;FCAR;CST3;FCGR3B;CXCR1;LAMP3;CXCR2;S100A12;PGLYRP1;CAMP;FCER1G;JUP;ARG1;PLAUR;LYZ;BST1;CEACAM1;TYROBP;RAB31;FCGR2A;CLEC4D;QPCT;S100P;MNDA;CD248;S100A9;S100A8,,R-HSA-6798743;R-HSA-6799350;R-HSA-6798739;R-HSA-6800434;R-HSA-6798751;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-6800426;R-HSA-6798745
R-HSA-375276,Peptide ligand-binding receptors,20,203,0.013370217,4.29E-10,2.74E-08,12,83,0.005895724,9606,Homo sapiens,CXCL8;CCL3L1;C5AR1;FPR1;CXCL1;CXCL10;CXCR1;CXCR2;CCRL2;CCL4;CCL3;PROK2;CCL2,,R-HSA-373813;R-HSA-443986;R-HSA-964811;R-HSA-444691;R-HSA-375395;R-HSA-373074;R-HSA-444527;R-HSA-373791;R-HSA-443978;R-HSA-374248;R-HSA-374251;R-HSA-3296301
